state,year,urate,children,nonwhite,finc,earn,age,ed,work,unearn
56,1992,6,0,1,14512.494654,14299.714897,52,11,1,.21277975766
57,1992,6.3000002,0,0,0,0,41,11,0,0
58,1992,7,0,0,15268.663578,0,49,7,0,15.268663578
59,1992,8.3000002,3,0,4996.8923735,0,25,11,0,4.9968923735
61,1992,6.9000001,3,0,8236.635780500001,0,36,7,0,8.2366357805
62,1992,6.4000001,0,1,45865.477548,39124.019957,52,11,1,6.7414575909
63,1992,7.4000001,0,0,5825.1318603,0,32,10,0,5.8251318603
64,1992,8.1999998,2,1,1194.3121882,0,29,11,0,1.1943121882
71,1992,7.3000002,0,1,11439.771917,11439.771917,45,10,1,0
72,1992,8.1999998,2,1,11563.321454,0,41,10,0,11.563321454
73,1992,5.6999998,0,0,3386.1724875,0,50,9,0,3.3861724875
74,1992,7.6999998,0,1,11368.845331,11368.845331,35,11,1,0
81,1992,6.9000001,1,0,6489.7826087,1707.9579473,20,9,1,4.7818246614
82,1992,6.5,3,0,32470.64861,25167.498218,35,10,1,7.303150391999999
83,1992,5.6999998,0,0,10638.987883,10410.192445,31,10,1,.22879543835
84,1992,6,2,1,61636.347113,45187.099073,40,9,1,16.44924804
85,1992,7,1,1,3970.7448325,85.79828938,43,7,1,3.8849465431
86,1992,7.5999999,1,1,23331.414825,21415.253029,25,11,1,1.9161617962
87,1992,5,4,1,5147.8973628,0,38,7,0,5.1478973628
88,1992,6.6999998,3,0,11256.735567,0,33,11,0,11.256735567
91,1992,7.5999999,0,0,9190.712758400001,6863.8631504,36,11,1,2.326849608
92,1992,7.5999999,0,0,28908.303635,28599.429793,54,7,1,.30887384177
93,1992,9.3000002,1,1,15100.498931,15100.498931,37,0,1,0
94,1992,9.1999998,2,0,18475.231646,18303.635068,33,11,1,.17159657876
95,1992,4.5999999,0,1,10295.794726,0,21,7,0,10.295794726
11,1993,7.9000001,0,0,12773.356401,12773.356401,47,7,1,0
12,1993,6.5999999,0,0,0,0,35,10,0,0
13,1993,5.5,3,0,9921.010380600001,0,33,10,0,9.9210103806
14,1993,6.9000001,3,1,5795.7716263,0,35,7,0,5.795771626300001
15,1993,7.8000002,0,0,49427.33564,49427.33564,22,10,1,0
16,1993,6.3000002,0,0,29610.861592,0,39,10,0,29.610861592
21,1993,7.8000002,0,1,7070.8858131,0,47,3,0,7.070885813099999
22,1993,7.5,0,1,12217.99308,2221.4532872,41,11,1,9.9965397924
23,1993,7.0999999,2,1,10309.764706,10309.764706,21,10,1,0
31,1993,6.5,4,1,10340.865052,0,28,11,0,10.340865052
32,1993,5.4000001,0,0,7161.9653979,1110.7266436,24,11,1,6.051238754300001
33,1993,7.5,7,0,16665.342561,5775.7785467,33,10,1,10.889564014
34,1993,7.0999999,0,0,5553.633218,0,45,0,0,5.553633218
35,1993,4.6999998,1,1,11938.089965,7108.650519,38,7,1,4.829439446399999
41,1993,5.0999999,0,0,5553.633218,5553.633218,23,0,1,0
42,1993,4,2,0,5810.2110727,0,21,10,0,5.8102110727
43,1993,6.5,2,0,4620.6228374,4620.6228374,30,11,1,0
44,1993,4.4000001,0,0,22140.114187,0,47,7,0,22.140114187
45,1993,3.5999999,2,0,3998.615917,0,28,11,0,3.998615917
46,1993,2.7,0,0,10551.903114,10551.903114,50,11,1,0
47,1993,5,0,0,11551.557093,11551.557093,52,7,1,0
51,1993,5.3000002,1,0,4993.8269896,0,32,11,0,4.9938269896
52,1993,6.1999998,2,1,1777.1626298,1777.1626298,39,0,1,0
53,1993,8.6000004,0,1,25546.712803,25546.712803,34,11,1,0
54,1993,5.0999999,0,1,26524.152249,26524.152249,36,3,1,0
55,1993,10.9,2,0,2679.0726644,0,23,9,0,2.6790726644
56,1993,4.9000001,0,0,28101.384083,26657.439446,49,10,1,1.4439446367
57,1993,7.5999999,1,0,5553.633218,5553.633218,26,10,1,0
58,1993,5.8000002,1,0,23517.415225,2075.9480969,40,7,0,21.441467128
59,1993,7,1,0,5997.9238754,0,24,10,0,5.9979238754
61,1993,6.1999998,1,0,16096.650519,16096.650519,47,9,1,0
62,1993,5.6999998,1,1,6997.5778547,6997.5778547,44,11,1,0
63,1993,7.5999999,0,1,8441.5224913,0,34,11,0,8.441522491300001
64,1993,6.4000001,0,0,16692,9863.2525952,20,11,0,6.828747404800001
71,1993,6.1999998,0,0,25803.290657,25546.712803,53,11,1,.25657785467
72,1993,7.5,0,0,5904.6228374,0,42,10,0,5.9046228374
73,1993,6.0999999,2,0,5764.6712803,0,40,11,0,5.7646712803
74,1993,7.1999998,2,1,5331.4878893,0,49,7,0,5.3314878893
81,1993,6.0999999,4,0,8090.532872,0,32,9,0,8.090532871999999
82,1993,6.1999998,2,0,11548.224913,0,31,11,0,11.548224913
83,1993,5.5,0,0,15661.245675,0,39,7,0,15.661245675
84,1993,5.3000002,0,1,3887.5432526,3887.5432526,21,11,1,0
85,1993,7.6999998,0,1,34563.591696,1288.4429066,37,7,1,33.275148789
86,1993,6.3000002,3,0,6904.2768166,1332.8719723,34,11,0,5.5714048443
87,1993,3.9000001,0,0,13350.934256,13328.719723,26,11,1,.022214532872
88,1993,7.3000002,0,0,40488.207612,40488.207612,52,9,1,0
91,1993,7.5999999,0,0,5331.4878893,0,38,3,0,5.3314878893
92,1993,7.3000002,0,0,57791.107266,7775.0865052,21,11,1,50.016020761
93,1993,9.3999996,3,1,32455.432526,32438.771626,33,11,1,.016660899654
94,1993,7.6999998,0,0,2110.3806228,0,21,10,0,2.1103806228
95,1993,4.3000002,1,0,1602.7785467,266.57439446,38,3,1,1.3362041522
11,1994,7.4000001,1,0,6164.4129555,1262.7732794,38,9,1,4.901639676099999
12,1994,4.5999999,4,0,9396.0728745,0,30,11,0,9.3960728745
13,1994,4.6999998,1,0,2393.4210526,2274.291498,31,9,1,.11912955466
14,1994,6,1,1,0,0,30,7,0,0
15,1994,7.0999999,2,0,17111.336032,8663.9676113,36,11,1,8.4473684211
16,1994,5.5999999,0,0,12021.255061,12021.255061,54,11,1,0
21,1994,6.9000001,1,1,9630,0,48,7,0,9.630000000000001
22,1994,6.8000002,0,1,25377.84413,24908.906883,52,7,1,.46893724696
23,1994,6.1999998,3,0,7041.6396761,0,32,11,0,7.0416396761
31,1994,5.5,4,1,7004.8178138,0,40,11,0,7.0048178138
32,1994,4.9000001,2,0,8756.0222672,7331.8825911,47,7,1,1.4241396761
33,1994,5.6999998,3,1,5380.3238866,0,25,11,0,5.3803238866
34,1994,5.9000001,0,1,5978.1376518,0,52,10,0,5.9781376518
35,1994,4.6999998,0,1,4378.5526316,4331.9838057,21,11,1,.046568825911
41,1994,4,1,0,0,0,28,9,0,0
42,1994,3.7,1,0,20771.862348,216.59919028,54,10,1,20.555263158
43,1994,4.9000001,1,0,7719.5951417,0,24,10,0,7.719595141699999
44,1994,3.9000001,2,0,1646.1538462,1646.1538462,21,10,0,0
45,1994,3.3,2,0,7901.5384615,541.49797571,46,10,0,7.3600404858
46,1994,2.9000001,0,0,16343.491903,10015.546559,45,7,0,6.3279453441
47,1994,5.3000002,0,0,0,0,25,0,0,0
51,1994,4.9000001,0,1,65662.044534,59239.878543,48,9,1,6.4221659919
52,1994,5.0999999,3,1,38289.321862,38289.321862,22,11,1,0
53,1994,8.1999998,2,1,6666.9230769,0,23,10,0,6.6669230769
54,1994,4.9000001,2,1,25991.902834,25991.902834,46,10,1,0
55,1994,8.8999996,1,0,7576.6396761,0,46,7,0,7.576639676099999
56,1994,4.4000001,0,0,49817.813765,49817.813765,45,11,1,0
57,1994,6.3000002,2,0,19493.927126,19493.927126,27,11,1,0
58,1994,5.1999998,1,1,74163.56275300001,74163.56275300001,39,11,1,0
59,1994,6.5999999,5,1,5497.2874494,0,20,11,0,5.4972874494
61,1994,5.4000001,1,0,9255.283400800001,9255.283400800001,48,9,1,0
62,1994,4.8000002,0,1,7902.6214575,0,42,11,0,7.9026214575
63,1994,6,0,1,17327.935223,17327.935223,43,11,0,0
64,1994,6.5999999,0,0,3790.48583,3790.48583,35,11,1,0
71,1994,5.3000002,0,0,3898.7854251,3898.7854251,33,10,1,0
72,1994,8,1,0,24568.846154,4548.582996,20,11,1,20.020263158
73,1994,5.8000002,1,0,6653.9271255,0,43,7,0,6.6539271255
74,1994,6.4000001,1,1,2577.5303644,0,50,9,0,2.5775303644
81,1994,5.0999999,2,0,7676.2753036,3465.5870445,32,10,1,4.2106882591
82,1994,5.5999999,1,0,14078.947368,14078.947368,35,10,1,0
83,1994,5.3000002,1,1,4316.8218623,0,23,9,0,4.3168218623
84,1994,4.1999998,2,0,18957.84413,15161.94332,28,11,1,3.7959008097
85,1994,6.3000002,0,0,0,0,28,11,0,0
86,1994,6.4000001,2,1,6349.6052632,324.89878543,21,10,1,6.0247064777
87,1994,3.7,0,1,14283.633603,0,47,9,0,14.283633603
88,1994,6.1999998,3,1,11351.963563,11351.963563,30,9,1,0
91,1994,6.4000001,2,0,10266.801619,3248.9878543,30,11,1,7.0178137652
92,1994,5.4000001,0,0,7797.5708502,0,54,11,0,7.7975708502
93,1994,8.6000004,1,1,10851.619433,10829.959514,38,7,1,.021659919028
94,1994,7.8000002,0,0,62034.008097,60073.785425,48,9,1,1.9602226721
95,1994,6.0999999,3,0,7473.7550607,0,26,11,0,7.4737550607
11,1995,5.6999998,2,0,8795.9055118,0,23,9,0,8.795905511799999
12,1995,4,1,0,15797.244094,15797.244094,38,7,1,0
13,1995,4.1999998,3,0,13623.543307,2422.2440945,37,10,1,11.201299213
14,1995,5.4000001,0,0,75133.79921300001,63989.370079,25,0,0,11.144429134
15,1995,7,1,0,0,0,20,10,0,0
16,1995,5.5,1,1,15797.244094,15797.244094,42,7,1,0
21,1995,6.3000002,3,1,13324.448819,0,21,9,0,13.324448819
22,1995,6.4000001,1,1,26350.856299,26328.740157,44,7,1,.022116141732
23,1995,5.9000001,0,1,7898.6220472,7898.6220472,41,7,1,0
31,1995,4.8000002,2,0,56684.724409,50656.496063,46,10,0,6.0282283465
32,1995,4.6999998,0,0,81946.624016,75826.771654,22,11,1,6.119852362200001
33,1995,5.1999998,1,0,22442.61811,21062.992126,31,11,1,1.3796259843
34,1995,5.3000002,0,0,5802.8543307,0,47,11,0,5.8028543307
35,1995,3.7,2,1,8151.3779528,985.7480315,35,11,1,7.1656299213
41,1995,3.7,0,0,30175.895669,12058.562992,37,11,1,18.117332677
42,1995,3.5,0,1,13706.742126,13690.944882,21,9,1,.015797244094
43,1995,4.8000002,0,0,17561.269685,17376.968504,54,11,1,.1843011811
44,1995,3.3,1,0,1174.261811,0,22,10,0,1.174261811
45,1995,2.9000001,5,0,10080.748031,8425.1968504,37,7,1,1.6555511811
46,1995,2.5999999,2,0,54601.594488,54131.889764,21,10,1,.46970472441
47,1995,4.4000001,0,0,27381.889764,27381.889764,51,11,1,0
51,1995,4.3000002,3,0,3822.9330709,0,33,11,0,3.8229330709
52,1995,5.0999999,0,0,18485.935039,18485.935039,29,7,1,0
53,1995,8.8999996,1,1,4170.4724409,0,25,10,0,4.1704724409
54,1995,4.5,2,1,17364.330709,0,34,11,0,17.364330709
55,1995,7.9000001,0,0,18106.801181,10952.755906,49,7,1,7.154045275600001
56,1995,4.3000002,0,1,5742.8248031,0,40,10,0,5.7428248031
57,1995,5.0999999,2,1,9130.8070866,0,29,10,0,9.130807086599999
58,1995,4.9000001,0,1,46801.968504,40862.204724,20,11,0,5.9397637795
59,1995,5.5,0,1,63188.976378,63188.976378,45,0,1,0
61,1995,5.4000001,0,0,6192.519685,0,36,7,0,6.192519685000001
62,1995,5.1999998,0,0,6040.8661417,0,54,11,0,6.0408661417
63,1995,6.3000002,0,0,0,0,48,11,0,0
64,1995,6.0999999,0,1,14423.937008,11584.645669,52,11,1,2.8392913386
71,1995,4.9000001,0,0,10110.23622,10110.23622,38,3,1,0
72,1995,6.9000001,1,0,1352.2440945,0,21,11,0,1.3522440945
73,1995,4.6999998,0,0,5371.0629921,5371.0629921,22,11,1,0
74,1995,6,2,0,42378.740157,41072.834646,24,7,0,1.3059055118
81,1995,5.9000001,1,0,4246.2992126,0,22,10,0,4.2462992126
82,1995,5.4000001,0,0,6192.519685,0,37,11,0,6.192519685000001
83,1995,4.8000002,1,0,21830.738189,20009.84252,37,9,1,1.8208956693
84,1995,4.1999998,3,1,5149.9015748,94.783464567,20,11,1,5.0551181102
85,1995,6.3000002,0,0,21070.364173,15375.984252,20,11,0,5.6943799213
86,1995,5.0999999,0,1,12253.395669,8778.001968500001,52,9,1,3.4753937008
87,1995,3.5999999,0,1,32437.007874,31859.88189,26,10,1,.5771259842499999
88,1995,5.4000001,1,1,16850.393701,16850.393701,27,10,1,0
91,1995,6.4000001,1,0,37755.413386,32647.637795,27,11,1,5.1077755906
92,1995,4.8000002,2,0,5402.6574803,0,21,11,0,5.4026574803
93,1995,7.8000002,1,1,15007.38189,15007.38189,50,3,1,0
94,1995,7.3000002,1,0,0,0,24,7,0,0
95,1995,5.9000001,1,0,7013.976378,0,26,10,0,7.013976378000001
11,1996,5.0999999,0,0,8224.474187399999,0,53,0,0,8.224474187399998
12,1996,4.1999998,0,0,11288.193117,0,54,7,0,11.288193117
13,1996,4.5999999,0,0,2520.5353728,2455.0669216,30,9,1,.065468451243
14,1996,4.3000002,2,1,10745.00956,10745.00956,32,7,1,0
15,1996,5.0999999,1,1,7553.4225621,7553.4225621,30,7,1,0
16,1996,5.6999998,1,1,16444.856597,10638.623327,39,7,1,5.806233269600001
21,1996,6.1999998,0,1,10587.476099,3068.833652,24,9,0,7.5186424474
22,1996,6.1999998,0,1,10865.717017,7160.6118547,40,11,1,3.7051051625
23,1996,5.3000002,0,0,5388.8718929,0,47,11,0,5.3888718929
31,1996,4.9000001,0,0,0,0,20,7,0,0
32,1996,4.0999999,2,0,0,0,34,10,0,0
33,1996,5.3000002,0,0,4910.1338432,0,24,11,0,4.910133843200001
34,1996,4.9000001,0,0,10229.445507,10229.445507,45,11,1,0
35,1996,3.5,0,0,8328.8145315,8183.5564054,42,10,1,.1452581262
41,1996,4,1,0,6837.3613767,0,34,11,0,6.8373613767
42,1996,3.8,0,0,3682.6003824,0,46,7,0,3.6826003824
43,1996,4.5999999,0,1,59379.885277,50124.282983,47,0,0,9.255602294500001
44,1996,3.0999999,0,0,25573.613767,0,53,9,0,25.573613767
45,1996,3.2,2,0,3944.4741874,225.04780115,28,10,1,3.7194263862
46,1996,2.9000001,2,1,26391.969407,26391.969407,49,3,1,0
47,1996,4.5,0,0,9411.0898662,9411.0898662,52,11,1,0
51,1996,5.1999998,0,1,9040.783938799999,0,26,11,0,9.040783938799999
52,1996,4.9000001,0,1,491.01338432,491.01338432,28,0,1,0
53,1996,8.5,0,1,11366.959847,0,47,10,0,11.366959847
54,1996,4.4000001,0,1,12177.131931,2761.9502868,23,10,1,9.4151816444
55,1996,7.5,0,0,5941.2619503,0,52,7,0,5.941261950299999
56,1996,4.3000002,2,0,4296.3671128,4296.3671128,33,11,1,0
57,1996,6,0,0,38794.14914,36744.16826,54,7,1,2.0499808795
58,1996,4.5999999,2,1,12070.745698,12070.745698,23,0,1,0
59,1996,5.0999999,0,1,32511.223709,0,53,11,0,32.511223709
61,1996,5.5999999,0,0,28591.300191,11252.390057,38,10,0,17.338910134
62,1996,5.1999998,1,0,6935.5640535,0,37,9,0,6.9355640535
63,1996,5.0999999,1,0,5626.1950287,5626.1950287,25,9,1,0
64,1996,6.0999999,3,1,2667.8393881,0,32,11,0,2.6678393881
71,1996,5.4000001,0,0,8304.2638623,0,51,7,0,8.304263862300001
72,1996,6.6999998,0,0,11808.871893,0,29,9,0,11.808871893
73,1996,4.0999999,0,0,6837.3613767,0,39,0,0,6.8373613767
74,1996,5.5999999,2,1,3011.5487572,703.78585086,21,11,1,2.3077629063
81,1996,5.3000002,0,0,1227.5334608,1227.5334608,20,11,1,0
82,1996,5.1999998,1,1,37480.688337,37480.688337,52,7,1,0
83,1996,5,0,0,0,0,38,7,0,0
84,1996,4.1999998,1,1,0,0,33,7,0,0
85,1996,8.1000004,3,1,4091.7782027,4091.7782027,42,7,1,0
86,1996,5.5,0,1,25111.24283,20458.891013,53,9,1,4.6523518164
87,1996,3.5,3,1,10229.445507,10229.445507,28,7,1,0
88,1996,5.4000001,0,0,19039.043977,15344.16826,23,0,0,3.694875717
91,1996,6.5,0,0,73652.007648,73652.007648,20,11,0,0
92,1996,5.9000001,4,0,13093.690249,12684.512428,36,9,1,.40917782027
93,1996,7.1999998,1,1,7723.2313576,358.03059273,37,11,0,7.3652007648
94,1996,7.8000002,1,1,5114.7227533,5114.7227533,35,11,1,0
95,1996,6.4000001,5,0,12561.759082,1309.3690249,36,10,1,11.252390057
11,1991,7.5999999,0,0,31227.973568,14730.176211,48,11,1,16.497797357
11,1991,7.5999999,0,0,8248.898678400001,8248.898678400001,20,10,1,0
11,1991,7.5999999,0,0,16761.762115,0,44,7,0,16.761762115
11,1991,7.5999999,3,0,8046.2114537,0,27,10,0,8.0462114537
11,1991,7.5999999,0,0,17482.951542,0,48,7,0,17.482951542
11,1991,7.5999999,1,0,4765.5066079,0,25,9,0,4.7655066079
11,1991,7.5999999,2,0,6405.8590308,0,31,10,0,6.4058590308
11,1991,7.5999999,1,0,7499.4273128,0,27,10,0,7.499427312800001
11,1991,7.5999999,0,0,54330.781938,17676.211454,44,11,0,36.65457048499999
11,1991,7.5999999,0,0,7183.6123348,0,44,7,0,7.1836123348
11,1991,7.5999999,0,0,9630,0,53,7,0,9.630000000000001
11,1991,7.5999999,0,0,6143.0726872,589.20704846,36,7,1,5.5538656388
11,1991,7.5999999,1,1,7424.0088106,2121.1453744,21,9,1,5.3028634361
11,1991,7.5999999,3,0,6405.8590308,0,24,11,0,6.4058590308
11,1991,7.5999999,0,0,32382.819383,31581.497797,50,11,1,.8013215858999999
11,1991,7.5999999,1,0,20452.555066,0,48,9,0,20.452555066
11,1991,7.5999999,3,0,7970.7929515,7970.7929515,39,10,1,0
12,1991,7.1999998,1,0,6740.5286344,6740.5286344,53,7,1,0
12,1991,7.1999998,0,0,2710.3524229,0,37,7,0,2.7103524229
12,1991,7.1999998,3,0,8060.3524229,0,31,11,0,8.060352422900001
12,1991,7.1999998,3,0,20612.819383,16497.797357,22,10,0,4.1150220264
12,1991,7.1999998,3,0,20612.819383,16497.797357,47,7,1,4.1150220264
12,1991,7.1999998,0,0,12962.555066,12962.555066,42,11,1,0
12,1991,7.1999998,2,0,22272.026432,21329.295154,27,11,1,.9427312775300001
12,1991,7.1999998,2,0,2432.246696,0,29,7,0,2.432246696
12,1991,7.1999998,1,0,3690.7929515,0,37,7,0,3.6907929515
12,1991,7.1999998,1,0,50282.929515,19886.9163,50,10,1,30.396013216
12,1991,7.1999998,0,0,18656.651982,18618.942731,37,7,1,.037709251101
12,1991,7.1999998,0,0,46853.744493,41861.982379,39,11,1,4.9917621145
12,1991,7.1999998,1,0,30.63876652,30.63876652,26,10,1,0
12,1991,7.1999998,2,0,7607.8414097,0,26,7,0,7.607841409700001
12,1991,7.1999998,0,0,8931.200440500001,2356.8281938,44,7,1,6.574372246699999
12,1991,7.1999998,0,0,11784.140969,11784.140969,51,7,1,0
13,1991,6.4000001,0,0,0,0,41,7,0,0
13,1991,6.4000001,0,0,13521.123348,13514.052863,45,7,1,.0070704845815
13,1991,6.4000001,3,0,10648.14978,0,32,11,0,10.64814978
13,1991,6.4000001,0,0,25617.544053,25612.830396,29,7,1,.0047136563877
13,1991,6.4000001,1,0,12888.314978,2828.1938326,34,7,1,10.060121145
13,1991,6.4000001,0,0,5656.3876652,0,53,7,0,5.6563876652
13,1991,6.4000001,0,0,12374.526432,12373.348018,22,11,1,.0011784140969
13,1991,6.4000001,1,0,43247.797357,43247.797357,21,10,1,0
13,1991,6.4000001,0,0,9726.6299559,0,42,7,0,9.7266299559
13,1991,6.4000001,1,0,4327.1365639,600.99118943,50,11,0,3.7261453744
13,1991,6.4000001,2,0,7570.1321586,188.54625551,27,10,1,7.3815859031
13,1991,6.4000001,0,0,7960.1872247,0,50,11,0,7.9601872247
13,1991,6.4000001,2,0,8248.898678400001,8248.898678400001,45,10,1,0
13,1991,6.4000001,3,0,10676.431718,0,35,7,0,10.676431718
13,1991,6.4000001,0,1,0,0,23,10,0,0
14,1991,9.1000004,1,0,24571.112335,21737.026432,30,7,1,2.8340859031
14,1991,9.1000004,0,1,23568.281938,23568.281938,38,7,1,0
14,1991,9.1000004,0,0,25925.110132,25925.110132,47,11,1,0
14,1991,9.1000004,2,0,6634.4713656,0,21,10,0,6.634471365600001
14,1991,9.1000004,0,0,24459.162996,0,37,7,0,24.459162996
14,1991,9.1000004,0,1,10397.147577,0,40,10,0,10.397147577
14,1991,9.1000004,1,0,60216.960352,60099.118943,52,7,1,.11784140969
14,1991,9.1000004,0,1,5472.5550661,0,46,9,0,5.4725550661
14,1991,9.1000004,2,1,28355,27598.45815,50,0,1,.75654185022
14,1991,9.1000004,1,0,8116.9162996,0,42,9,0,8.1169162996
14,1991,9.1000004,3,0,942.7312775300001,0,30,10,0,.9427312775300001
14,1991,9.1000004,0,1,6410.5726872,4148.0176211,36,10,1,2.2625550661
14,1991,9.1000004,0,0,20421.9163,0,52,0,0,20.4219163
14,1991,9.1000004,1,1,6306.8722467,0,21,7,0,6.306872246699999
14,1991,9.1000004,0,1,5892.0704846,5892.0704846,42,7,1,0
14,1991,9.1000004,1,1,14848.017621,14848.017621,36,11,1,0
14,1991,9.1000004,2,1,13437.455947,0,21,9,0,13.437455947
14,1991,9.1000004,2,1,5995.7709251,0,34,11,0,5.9957709251
14,1991,9.1000004,2,0,0,0,23,11,0,0
14,1991,9.1000004,1,0,9427.312775300001,9427.312775300001,47,3,1,0
14,1991,9.1000004,0,1,7353.3039648,0,35,3,0,7.3533039648
14,1991,9.1000004,0,1,12927.202643,0,46,11,0,12.927202643
14,1991,9.1000004,0,0,21217.345815,21211.453744,54,7,1,.0058920704846
14,1991,9.1000004,2,0,8908.8105727,0,39,10,0,8.9088105727
14,1991,9.1000004,3,0,24982.378855,18854.625551,30,10,1,6.127753304
